Record_ID,Year,Title,Manual_Decision
CSS_c927ef3b62d4,2025,数字时代的财政货币政策协同效应,1
CSS_ce41a9b82fb8,2025,企业数据基础观的构建,1
CSS_a9ae737deb5a,2025,引入技术外溢视角的中国创新政策,1
CSS_2b7ec8e0d3bf,2025,马克思国家学说的演进逻辑,0
CSS_ab57a1bff01f,2025,经济法中的时间秩序,0
CSS_4857c8a8f80b,2025,职业任务结构变迁视角下的数字化转型与收入分配,1
CSS_dbd64a67ac5f,2025,中国农业起源与早期农业文化格局的形成,0
CSS_172d283e7307,2025,中国正义理论建构:文化根脉、社会根基和基本议题,0
CSS_1c5de537ebba,2025,中坚国家在大国互动下的行为逻辑,0
CSS_406ac9c569c5,2025,大国贸易博弈与全球气候治理,1
CSS_4ab7fb277d1b,2025,马克思主义与中国传统经济思想研究进路,1
CSS_6fab2589308f,2025,解析中国式现代化的政治之维,0
CSS_625209ed5fd1,2025,中国式现代化的逻辑理路及其世界意义,0
CSS_3b7baafb6e9b,2025,依附论的成败对建构中国自主知识体系的启示,0
CSS_b572c6f91b28,2025,清代的“双轨财政”与国家财政能力:可信承诺视角的分析,1
CSS_d9a678a452ef,2025,在弹性积累体制下拓展当代劳动过程理论,1
CSS_28b96f8a4268,2025,马克思恩格斯的空间思想,0
CSS_58c0c2ea6227,2025,制度型开放的竞争法实现,0
CSS_dcac9d04e670,2025,社会主义市场经济条件下资本理论再认识,1
CSS_e9f64a3b8eb7,2025,中国理论的实践辩证法,0
CSS_f29ba8f17d56,2025,“集体”的渊源流变与中国社会的现代转型,0
CSS_23b98ba95b0d,2025,宋代农商观念下财政与市场的关系,1
CSS_dfe8d6f558f0,2025,外资视角下的中国产业链风险分析,1
CSS_bd047a45bb8f,2025,政治经济学批判语境中的社会认识论,0
CSS_c6ae7f9e083e,2025,中国式现代化对科学社会主义的原创性贡献,0
CSS_ec0d14234f54,2025,货币创造与中西方货币制度分流,1
CSS_f399bd953dc8,2025,财政补贴面向家庭还是面向企业——基于存量—流量一致模型的系统评估,1
CSS_b12fe70c06a8,2025,中国式现代化对现代性的超越,0
CSS_481497de939a,2025,中国基本公共服务均等化的理论框架与实现路径,1
CSS_1b7de9af2fb0,2025,从“边城”建设到“环海边城链”——西亚北非城市带生成的历史源流,0
CSS_9c0472ac9264,2025,理顺央地财政关系——基于中央转移支付的理论与实证分析,1
CSS_bdee6f95d30e,2025,从生产网络变迁看中国产业结构转型,1
CSS_6b3c7cce20b9,2025,通用人工智能时代的国际权力重塑,0
CSS_5a2f2735655d,2025,智能时代的社会基本矛盾与社会发展动力,0
CSS_e4dad9b85c1f,2025,产业链风险与中国企业自主创新突破,1
CSS_9c689895ab26,2025,工业化背景下农业欠发达地区的跨越式发展——基于对农牧交错地带农业转型的考察,1
CSS_de2349f7e11d,2025,行政规章与合同效力的关系,0
CSS_871d8357a26a,2025,技术标准引领与中国贸易新优势构建,1
CSS_860827cf7faa,2025,人工智能法律治理的路径拓展,0
CSS_061219248372,2025,超越项目制:中央倡导型政策试点的运行逻辑及制度基础,0
CSS_c27e51800976,2025,对“具体的总体”的前提性批判——论马克思社会研究方法的深层结构与科学性特征,0
CSS_c5a2675b0378,2024,中国经济发展中的“实体—虚拟”关系——基于马克思社会总资本再生产理论的拓展,1
CSS_7d977b6fa8d1,2024,资本主义与近代早期世界史宏大叙事,0
CSS_ca2d4167bcf9,2024,城市更新与共享社会发展,0
CSS_d4c84f1c19f3,2024,“新的文化生命体”的内涵与特征——基于中国式现代化的视角,0
CSS_bfc1cabdacc7,2024,大变局背景下的国际商事仲裁:世界潮流与中国因应,0
CSS_cc74dcb36ff1,2024,“南下”还是“西进”——外部冲击下的企业区位选择,1
CSS_cdec71ccc01d,2024,生态产品及其价值实现探析——基于政治经济学的思考,1
CSS_c22bcb8c7255,2024,论社会法的本质属性,0
CSS_f461a4809c20,2023,国家数字能力:数字革命中的国家治理能力建设,0
CSS_845fc447a9e4,2023,论新时代的中国时代精神,0
CSS_9c9917a5b9b7,2022,中国经验与中国特色经济社会学:标识性概念与关键议题,1
CSS_068a07091443,2022,论21世纪马克思主义,0
CSS_e3ba10e9abff,2022,人类文明新形态的创造与世界意义,0
CSS_66cb99ff014b,2022,中国式物权制度的文明刻度,0
CSS_238da784454a,2022,全球价值链对国际权力的形塑及影响,1
CSS_fc9b09b0768b,2022,财政金融统一框架下的金融风险测度与分析——基于非线性网络关联的方法,1
CSS_8cc6806c2ae6,2022,从财政视角看中国式现代化道路,1
CSS_e0d2569d8ba0,2022,晚清财税结构的转型,1
CSS_b8c3c16c3e14,2022,新兴技术产业赶超中的政府作用:产业政策研究的新视角,1
CSS_cb4eb67cacf1,2022,突破结构性制约的中国探索与创新,1
