Title,Abstract,Year,Author,Keywords,Journal,CLC,Record_ID
马克思国家学说的演进逻辑,"马克思从法哲学对国家问题的研究中发现了更为基础的市民社会问题,同时从哲学人类学研究中发现了市民社会中现实的人,以之为历史哲学批判的基点,创立了历史唯物主义的国家学说。马克思将其落实在具体历史研究中,在通过政治经济学研究资本主义社会后,试图以此为基点进一步研究资产阶级国家。此后政治经济学批判标志着马克思完成从思辨哲学到实证科学的总体演进。马克思显然已经准备进行实证人类学和历史科学批判,至于实证法学批判,事实上也在进行中。从系统的角度来说,马克思的国家学说经历了市民社会、现实的人、经济基础、资本主义社会四个基点的演进,同时经历了法哲学批判、哲学人类学批判、历史哲学批判、政治经济学批判四个基本阶段的演进,概括起来就是经历了从思辨哲学批判到实证科学批判的演进。",2025,程广云,马克思国家学说;法哲学批判;人类学批判;历史唯物主义;政治经济学批判,中国社会科学,,CSS_2b7ec8e0d3bf
经济法中的时间秩序,"时间是经济法存在的构成性要素,时间影响、决定、规范着经济法的整个运行过程。经济法具有突出的时间性特征,需要根据经济发展的具体情势因时而立、适时更新,需要将有关时间的观念、功能、规范等要素纳入考量范围并形成规范的时间秩序。经济法应通过线性时间观来塑造其动态性、积极促进性、系统性,通过标准时间和弹性时间相结合的时间观来维护其同步性、协调性、灵活性、回应性。时间在经济法实施中承担着干预语境确定、干预制度联结和干预行为协调等功能。经济法中的时间规范通过时间性政策和时间性法律来呈现,包括时间效力规范、时限期间规范、时间压缩规范和时间延展规范。以信赖利益、当下利益和未来利益的联动保护为目标,以效率提升为价值引领实现时间的科学配置,是经济法中时间秩序建构的法治原理。",2025,靳文辉,经济法;时间秩序;时间性政策;时间性法律;时间性特征,中国社会科学,,CSS_ab57a1bff01f
中国农业起源与早期农业文化格局的形成,"迄今为止,中国南稻、北粟(黍)农业遗存的最早考古证据分别见于距今一万年前后钱塘江流域的上山文化和华北北部的东胡林文化。在此基础上,还应该关注环境条件相似、地域范围更广的长江中下游平原南端和华北平原北端的两个“侧翼丘陵区”,这两个狭长地带都有可能是农业的最初发源地。经过新石器时代早期农业缓慢的发展,到新石器时代中期前段,随着全新世大暖期降临、气候转暖,南、北方农业迅速发展、传播,有农业经济的文化很快遍布北起辽河、南抵南岭—武夷山北麓连片的平原丘陵地带,到中期后段又扩散到西侧的黄土高原和两湖地区西侧的山地,初步形成网络状的中国早期农业文化的基本格局。在这些早期农业文化中,种植农业大多尚未成为主导性经济,但在较成熟的定居聚落中往往已是较为重要甚至不可或缺的生业资源,这样的社会可称为“农业依赖型社会”。",2025,戴向明,农业起源;南稻北粟;中间型经济;农业依赖型社会;农业文化格局,中国社会科学,,CSS_dbd64a67ac5f
中国正义理论建构:文化根脉、社会根基和基本议题,"建构中国的正义理论,不仅是政治哲学学科迅速发展的理论需求,更是社会主义市场经济和法治社会建设实践的迫切要求。中西不同的文化根脉和历史路径孕育了两种截然不同的现代化模式,不仅导致中西正义观念的价值分野,也造成中西正义理论与实践范式的区别。近代中国社会的现代化转型,为理解中西正义观念的差异提供了社会根基。社会主义市场经济与资本主义市场经济的本质差异,决定了中西正义理念与实践的根本分歧。建构与中国特色社会主义市场经济相适应的正义理论,需要立足于中国式现代化的实践场域,以马克思主义科学方法论为统领,充分挖掘中华优秀传统文化资源,深入研究以应得正义原则为基本议题的系列问题,形成中国的正义理论体系和话语体系。",2025,王新生,正义理论;中华文化;社会变迁;市场经济;应得正义,中国社会科学,,CSS_172d283e7307
中坚国家在大国互动下的行为逻辑,"兼具中等至中上综合实力、重要地区影响力及一定战略自主性的国家群体直接牵动国际格局的演变,国际关系理论中的既有概念难以系统解释这类国家的行为逻辑。中坚国家概念的提出,将次大国、中等强国与地区大国概念指涉的国家纳入共同的分析范畴,可在此基础上构建包含中坚国家对其追随霸权国的收益认知及对其地区主导性受崛起国影响的认知的理论框架。中坚国家的行为呈现四种可识别的模式:一是全球及地区层面主动追随霸权国;二是全球层面主动追随霸权国;三是地区层面主动制衡崛起国;四是全球及地区层面与崛起国合作。中坚国家在现行国际格局中的差异性战略行为展示了其在全球及地区两个层面具体战略定位的共同作用,崛起国应据此实施更具针对性的战略布局。",2025,高程,中坚国家;地区大国;中等强国;大国互动;大国崛起,中国社会科学,,CSS_1c5de537ebba
解析中国式现代化的政治之维,"现代化是以工业化为基础的系统性社会变革。在现代化逐渐向全球扩展的过程中,不同国家形成了不同的模式。中国作为后来者,成功推进和拓展了既有各国现代化的共同特征,更有基于自己国情的中国特色的中国式现代化。然而,在解释中国现代化成就的国际学术讨论中,政治的作用通常被忽略,或者被“中国特色”一笔带过。实际上,在政党—国家—政府—社会的政治分析框架中,以国家现代化为总目标的“使命型政党”“自主性国家”“有为型政府”及其在与社会互动的整体效用下所形成的适应性治理,可以被视为解释中国式现代化顺利推进的制度原因。中国的现代化成就不仅与既有知识体系相互印证,而且在政党建设、国家建设、政府建设、社会建设等方面为后发国家的政治制度建设提供了镜鉴。",2025,燕继荣;李修科,中国式现代化;使命型政党;自主性国家;有为型政府;适应性治理,中国社会科学,,CSS_6fab2589308f
中国式现代化的逻辑理路及其世界意义,"现代化是特定主体在多样领域推动现代性变革的系统过程,相同的要素构成与不同的组合配置从根本上塑造了世界现代化的共同特征和各国现代化的多彩图景。探究中国式现代化与世界现代化之间的关系,必须立足共性与个性有机统一的现代化辩证法,聚焦塑造现代化基本形态的构成要素,从现代化要素构成的相似性与取值的差异性视角加以考察。因此,统筹历史、人民、政党、国家、社会等多重维度,以始发坐标、发展旨归、领导力量、实现载体、实践形态为基本要素,考察中国式现代化“从何而发”的历史逻辑、“为何而生”的人民逻辑、“因何而兴”的政党逻辑、“依何而存”的国家逻辑以及“向何而进”的社会逻辑,以此为系统论析中国式现代化的逻辑理路提供一个学理化体系化的分析框架。",2025,吴志成,世界现代化;中国式现代化;西方现代化;逻辑理路,中国社会科学,,CSS_625209ed5fd1
依附论的成败对建构中国自主知识体系的启示,"建构自主知识体系,离不开建构自主的理论体系。纵观近现代哲学社会科学的历程,拉丁美洲国家提出的依附论可谓是发展中国家成功建构自主理论体系的先例。其成功并不意味着依附论取代了西方的现代化理论,而是指学者们建构了一个能与西方现代化理论分庭抗礼、自圆其说的理论,并将其进行了成功的国际传播;其在理论上的缺陷与实践上的失败则意味着,如同西方现代化理论,它也不能解释中国式现代化的成就。但从知识生产与理论创新的逻辑来看,依附论的成败启示我们,建构自主知识体系需要处理好理论与实践之间的辩证关系,重视理论创新与知识积累、传承之间的关系,创造适应于自主知识生产的学术组织形态,发挥国际学术出版、国际学术合作等在学术传播中的重要作用。",2025,钟杨,自主知识体系;依附论;中国式现代化;西方现代化理论;马克思主义,中国社会科学,,CSS_3b7baafb6e9b
马克思恩格斯的空间思想,"空间既是物质的客观存在方式,也是社会关系的历史性建构与文明发展的重要载体。马克思恩格斯从唯物史观出发,深刻揭示了空间作为社会关系产物的社会属性,并将对空间的探讨延伸至对资本主义生产方式下空间形态塑造与社会矛盾的深度理论批判,展现了空间形态演变与社会矛盾的辩证关系。在阐述空间作为揭示社会历史发展规律及其演进机制的基础之上,以更为宽阔的视域对不同社会形态下的空间关系及空间变迁进行研究,探索东方社会依据自身空间特质的发展道路,探索超越资本主义空间异化的新路径。深入研究马克思恩格斯的空间思想,对于构建面向人类文明新形态的空间哲学具有理论意义。",2025,董慧,空间思想;唯物史观;政治经济学批判,中国社会科学,,CSS_28b96f8a4268
制度型开放的竞争法实现,"竞争法是改革开放的制度结晶。作为我国高水平开放的法治化表达,制度型开放蕴含深刻的竞争法哲理,体现了公平竞争理念及其规则不断深化的演进规律。当前竞争法的制度供给尚不足以有效支撑深化改革与扩大开放的双重需求。制度型开放具有竞争法属性、公平竞争特质及其竞争法运行逻辑。在理论层面,推进制度型开放的竞争法实现有两个维度:一是承接国际竞争规则,二是引领国际竞争规则。在实践层面,以竞争法治为核心的包容性开放方案更符合我国国情和发展趋势,竞争法治需要在治理规则、工具和机制诸方面进一步健全。在公平竞争原则基础上,通过国际竞争规则内化与国内竞争规则外化,完善竞争规则体系,优化竞争规制方法和管理工具,健全竞争标准体系,推动实现制度型开放。",2025,孙晋,制度型开放;竞争法;包容性开放;公平竞争理念;规则内化与外化,中国社会科学,,CSS_58c0c2ea6227
中国理论的实践辩证法,"中国理论特指中国共产党在引领中华民族迈向伟大复兴的历史实践活动中创立形成的思想理论结晶,中国化时代化的马克思主义是其集中体现。中国理论实现“解释”与“改变”辩证统一,把建设一个新世界的实践建立在深刻认知、遵循和运用历史规律之上,充分彰显科学理论先进性;秉承“拿来”与“化育”辩证统一,以高度的理论主体性自觉推动人类思想史上的精华在中华文明的土壤中生长养成;致力“特色”与“共同”辩证统一,立足中国实际回答世界之问,运用中国实践回应人类关切,通过鲜明特色确立起理论的普遍价值与世界历史性意义;践履“守正”与“创新”辩证统一,在坚持马克思主义立场观点方法坚定不移和解放思想与时俱进不断谱写理论新篇章的同频共振中开辟理论发展的正确路径。中国理论让“理论中的中国”站上真理和道义制高点,展现出强大精神力量。",2025,辛鸣,中国理论;中国化时代化的马克思主义;实践辩证法;理论自信,中国社会科学,,CSS_e9f64a3b8eb7
“集体”的渊源流变与中国社会的现代转型,"“集体”是理解中国社会现代转型的重要组织现象,也是理解中国社会总体气质的重要概念。这一语词随着新中国农业集体化历史进程的普遍展开有了具体的制度呈现。对“集体”问题展开历史社会学分析,可以揭示“集体”在马克思主义中国化进程中发挥的重要作用。20世纪50年代之后以制度化形态出现在乡村社会中的“集体”并非无源之水,它既内生于中国社会的历史渊源,又内嵌于国际共产主义运动的演化脉络,同时关涉社会再造、经济生产与组织动员三个基本面向。探讨“集体”得以生成的诸多社会历史条件,揭示“集体”所具有的总体史意义,有助于理解“集体”作为一种国家治理体制的历史逻辑及其蕴含的制度文明意义,更好把握马克思主义中国化时代化的社会过程。",2025,孟庆延,集体;合作;互助;中国社会,中国社会科学,,CSS_f29ba8f17d56
政治经济学批判语境中的社会认识论,"在哲学史上,马克思恩格斯变革近代西方认识论的主体—客体结构,形成了唯物史观视域中特定的把握社会意识和社会存在关系问题的社会认识论。在社会认识论的话语中,对政治经济学和黑格尔的双重批判,确立了作为“认识对象”的“资产阶级社会总体”。对“资产阶级社会总体”的揭示,必须从资产阶级社会的商品流通领域进入商品生产领域,由此把握资产阶级社会关系的本质规定。从认识结果来看,科学认识是一种对现实对象予以必要的悬置、将其在纯粹形式上揭示出来的过程,由此形成了对资本主义发展模式的阐释。这种认识论的理论生产,不但为我们测绘现实资本主义的发展规律和趋势提供参照,并且预示了资本主义内部所孕育的新社会的要素。",2025,袁立国,政治经济学批判;社会认识论;思想具体;现实具体,中国社会科学,,CSS_bd047a45bb8f
中国式现代化对科学社会主义的原创性贡献,"中国式现代化是科学社会主义的最新重大成果。马克思关于“跨越卡夫丁峡谷”的理论设想为深刻把握这一重大成果提供了基本理论参照。从现代化的“道路选择”来看,中国式现代化本质上是经济文化落后国家“跨越卡夫丁峡谷”而成功开辟的一条社会主义现代化新道路,破解了科学社会主义发展史上的重大难题。中国式现代化遵循科学社会主义的基本原则,既不走封闭僵化的老路,也不走改旗易帜的邪路,所创造的人类文明新形态是21世纪的社会主义文明形态。中国式现代化在科学社会主义发展史上具有里程碑意义,其所开创的人类文明新形态在社会主义文明发展史上也具有里程碑意义。",2025,唐爱军,“跨越卡夫丁峡谷”;中国式现代化;人类文明新形态;科学社会主义,中国社会科学,,CSS_c6ae7f9e083e
