Title,Abstract,Year,Author,Keywords,Journal,CLC,Removal_Reason
信息化时代农业经济管理与产业化人才培养探索——评《农业经济管理与产业化发展探究》,"在信息时代,云计算、大数据、人工智能等技术迅猛发展,深刻重塑着社会生产与生活方式,农业作为国民经济基础产业,其发展模式与经济管理范式正经历前所未有的变革,并对农业经济管理实践及人才培养提出全新要求。数字化技术的应用,使农业经济管理的对象、方法和工具发生根本性变化,管理决策从依赖直觉转向依赖海量数据的分析与洞察,推动传统管理范式向现代化、精细化的数智化模式转型。农业产业化进程加速对人才知识结构提出新要求,现代农业已形成贯通一二三产业的完整产业链,涵盖精深加工、品牌营销等新业态,这要求农业经济管理者兼具生产管理、市场金融知识与信息技术应用能力。",2025,张佳;曾智,,管理世界,,笔谈、书评、序言、访谈或综述等非论文体裁
新质生产力为中国经济发展注入强劲活力——评《新质生产力:中国经济高质量发展的澎湃动能》,"新质生产力作为中国经济高质量发展的核心引擎,正在重塑新的产业格局与增长逻辑。由北京大学光华管理学院编著的《新质生产力:中国经济高质量发展的澎湃动能》一书,系统阐释了新质生产力的理论内涵、实践路径与未来图景。以宏大的历史视野与敏锐的现实洞察,将新质生产力置于全球科技革命与中国现代化进程的交汇点,揭示其如何通过技术跃迁、要素重构与制度创新为中国经济注入澎湃动能。",2025,李婷婷,,管理世界,,笔谈、书评、序言、访谈或综述等非论文体裁
以生产者责任延伸撬动我国循环经济发展——评《生产者责任延伸理论及其在中国的实践研究》,"生产者责任延伸不仅关系到企业的社会责任,而且关系到国家生态文明建设战略的实施。因此我国高度重视生态文明建设,着力建设美丽中国。党的二十大报告指出我国生态环境保护和绿色发展的重要意义,明确了“推动绿色发展,促进人与自然和谐共生”的战略方向。企业作为经济社会的发展主体,由于生产型企业在制造产品阶段对环境影响较大和对资源需求较大,由此带来一系列环境破坏风险。保护环境企业责无旁贷,其社会责任延伸到协调经济发展与环境保护之间的关系。因此,生产者责任延伸制是促进我国循环经济整体发展的重要路径。",2025,朱庆华,,管理世界,,笔谈、书评、序言、访谈或综述等非论文体裁
“十五五”时期确保基本实现社会主义现代化取得决定性进展——学习贯彻党的二十届四中全会精神笔谈,"党的二十届四中全会审议通过了《中共中央关于制定国民经济和社会发展第十五个五年规划的建议》。“十五五”时期是基本实现社会主义现代化夯实基础、全面发力的关键时期,在基本实现社会主义现代化进程中具有承前启后的重要地位。全会高度评价了“十四五”时期我国发展取得的重大成就,系统部署了“十五五”时期经济社会发展的指导思想、重要原则、主要目标、战略任务和重大举措。为深入学习贯彻党的二十届四中全会精神,本刊特邀请国内部分经济学家以“‘十五五’时期确保基本实现社会主义现代化取得决定性进展”为题撰写笔谈文章,以飨读者。",2025,张占斌;王国刚;盛斌;李涛,,经济研究,,笔谈、书评、序言、访谈或综述等非论文体裁
《管理世界》四十载各界嘉言颂风华同贺机构与个人,对外经济贸易大学中央财经大学上海财经大学西安电子科技大学首都经济贸易大学深圳大学中国社会科学杂志社《经济研究》编辑部《中国管理科学》编辑部《数量经济技术经济研究》编辑部《南开管理评论》编辑部中诚信投资集团有限公司董事长毛振华第十二届全国政协副主席陈元清华大学北京大学中国人民大学复旦大学南京大学南开大学厦门大学中山大学华中科技大学西安交通大学哈尔滨工业大学华南理工大学,2025,,,管理世界,,缺少作者，通常为公告、宣传或编辑性记录
"掌握研究工具,成就学术卓越——《管理世界》大讲堂之方法课合集","本合集包含方法课第1至6期和S1期(共39节课),原价2452元,限时优惠价格为1800元,优惠期至2025年11月1日。合集观看有效期为120天。第1期共6讲(408元/30天):1.组态理论与QCA方法:原理、应用与前沿东南大学经济管理学院杜运周教授2.断点回归方法(RD):原理、应用与前沿浙江大学经济学院张川川研究员3.群聚分析法:Bunching西安交通大学经济与金融学院冯晨教授4.双重差分估计量何时可信?——若干有用的建议上海财经大学经济学院张征宇教授5.知识图谱理论、应用与挑战中国科学院自动化研究所郑晓龙研究员",2025,,,管理世界,,缺少作者，通常为公告、宣传或编辑性记录
欢迎报名参加2025年第十二期“学术研究与论文写作”(科技创新与产业创新融合发展专题)研修班,"为深入贯彻国家“扎实推动科技创新和产业创新深度融合,助力发展新质生产力”的重大部署,推动学术研究服务国家发展大局,《管理世界》经济研究院与辽宁大学经济学院合作,在辽宁省沈阳市举办2025年第十二期“学术研究与论文写作”(科技创新与产业创新融合发展专题)研修班。",2025,,,管理世界,,缺少作者，通常为公告、宣传或编辑性记录
国际经济贸易发展中的商务英语翻译——评《中国语言服务产业研究》,"在当今经济全球化的浪潮中,语言服务产业在中国文化与经济的国际化进程中,尤其是在对外贸易领域,正扮演着愈发关键的角色。随着“中译外”商务翻译需求的激增以及多语种信息处理的迫切需要,语言服务产业已迅速崛起为一种新型的服务业态。罗慧芳与蒙永业合著的《中国语言服务产业研究》一书,深入探讨了对外贸易与语言服务产业发展之间的内在联系及其具体表现,同时剖析了当前语言服务产业面临的挑战,并提出了未来调整策略以更好地适应对外贸易的发展需求。该书的研究成果为制定科学合理的语言服务产业发展政策提供了重要支撑,旨在推动语言服务产业更高效地服务于对外贸易的蓬勃发展。",2025,任琳,,管理世界,,笔谈、书评、序言、访谈或综述等非论文体裁
国有企业管理数字化能力拆解与量化模型——评《企业战略管理数字化新范式》,"数字经济时代的到来对企业而言,不仅是战略的数字化转型或战略的数字化升级,也是一场从战略推演结构到战略制定工具与方法的根本性变革,还是一次战略管理范式的革命与迭代。由郭小川、汤奇峰等撰写的《企业战略管理数字化新范式》一书,围绕着数字经济时代企业战略推演形成过程和企业战略管理数字化新范式两个焦点问题展开研究,为构建中国式企业战略管理新范式提供了理论支撑,并为推动国有企业数字化转型和提升国有企业管理数字化能力提供重要借鉴。",2025,黄勇;陈锋,,管理世界,,笔谈、书评、序言、访谈或综述等非论文体裁
安徽财经大学金融学院实验教学中心简介,"安徽财经大学金融学院实验教学中心(以下简称实验中心)始于1998年,最初设立证券实验室,成为安徽省属高校中较早探索实验教学的经管类实验室之一,随后陆续增设银行实验室和保险实验室。2020年,学院将三个实验室重组为量化交易实验室和金融科技实验室。目前,实验中心建有低碳发展与碳金融实验室、金融资产配置与管理实验室、经济学类跨专业综合实验教学中心、量化交易实验室和金融科技实验室。实验教学的开展旨在为学生提供高度仿真的金融市场环境和实践操作平台,通过模拟真实业务场景,全面提升学生的专业技能和综合素质,致力于培养适应现代金融发展需要的高质量金融人才。",2025,,,管理世界,,缺少作者，通常为公告、宣传或编辑性记录
体育经济与区域产业结构优化的互动关系——评《区域一体化背景下我国体育产业结构优化与高质量协同发展研究》,"在区域经济一体化发展战略下,长江三角洲地区的体育产业迎来新的发展机遇,开启了高质量发展的新征程。由肖琴撰写的《区域一体化背景下我国体育产业结构优化与高质量协同发展研究》一书,以长三角为例,针对当前我国区域体育产业的发展现状、长三角体育产业的结构现状提出了优化策略,为促进我国长三角体育产业的结构优化与高质量协同发展提供了参考和引导,并为其他区域体育产业的一体化发展提供了借鉴。",2025,王丹,,管理世界,,笔谈、书评、序言、访谈或综述等非论文体裁
人工智能、人力资本结构与灵活用工——来自在线招聘大数据的经验证据,"本文构建了一个人工智能技术的应用如何影响企业灵活用工需求的理论模型。模型预测:人工智能简化和标准化了一些工作任务,允许企业可以利用劳动力成本较低的灵活用工人员与人工智能配合,来替代全职员工完成任务。进一步,本文采用2014—2024年中国在线招聘大数据,利用自然语言处理方法识别了企业灵活用工需求,实证研究人工智能对企业灵活用工的影响效应与作用机制。研究发现:(1)人工智能暴露度每提高1个标准差,企业灵活用工需求占总用工需求的比例将显著提高1.130个百分点。这一结论在处理内生性问题以及经过稳健性检验后依然成立。(2)机制分析表明,人工智能降低了企业要求灵活用工人员所具备的技能数量,实现了对工作任务的简化和标准化;同时,人工智能减少了企业招聘较低学历、较低工资、较少经验的全职员工的数量,而增加了企业招聘相似背景的灵活用工的数量,这意味着人工智能与灵活用工人员协同可以替代全职员工完成一些简单任务;最后,人工智能提升了企业招聘员工的平均技能水平,促进企业人力资本结构升级。(3)拓展分析表明,企业可以通过增加灵活用工需求来降低劳动力成本,从而提高经营利润率等经营绩效。",2025,刘行;张昊天;田轩,人工智能暴露度;人力资本结构;灵活用工;在线招聘平台;经营绩效,经济研究,,公告、招聘、宣传或编辑性材料
