Specification,Year,Group,Group_Name,Field,Field_CN,Count,Total,Share
Final classification,2020,0,English Top 5,Development Economics,发展经济学,37,406,0.09113300492610837
Final classification,2020,0,English Top 5,Economic History,经济史,10,406,0.024630541871921183
Final classification,2020,0,English Top 5,Finance,金融学,38,406,0.09359605911330049
Final classification,2020,0,English Top 5,Industrial Organization,产业组织,36,406,0.08866995073891626
Final classification,2020,0,English Top 5,International Economics,国际经济学,26,406,0.06403940886699508
Final classification,2020,0,English Top 5,Labor Economics,劳动经济学,40,406,0.09852216748768473
Final classification,2020,0,English Top 5,Macroeconomics,宏观经济学,40,406,0.09852216748768473
Final classification,2020,0,English Top 5,Microeconomics,微观经济学,51,406,0.12561576354679804
Final classification,2020,0,English Top 5,Public Finance,公共财政,32,406,0.07881773399014778
Final classification,2020,0,English Top 5,Miscellaneous & Methods,方法与杂项,96,406,0.23645320197044334
Final classification,2020,1,Chinese journals,Development Economics,发展经济学,20,286,0.06993006993006994
Final classification,2020,1,Chinese journals,Economic History,经济史,25,286,0.08741258741258741
Final classification,2020,1,Chinese journals,Finance,金融学,47,286,0.16433566433566432
Final classification,2020,1,Chinese journals,Industrial Organization,产业组织,29,286,0.10139860139860139
Final classification,2020,1,Chinese journals,International Economics,国际经济学,18,286,0.06293706293706294
Final classification,2020,1,Chinese journals,Labor Economics,劳动经济学,18,286,0.06293706293706294
Final classification,2020,1,Chinese journals,Macroeconomics,宏观经济学,31,286,0.10839160839160839
Final classification,2020,1,Chinese journals,Microeconomics,微观经济学,8,286,0.027972027972027972
Final classification,2020,1,Chinese journals,Public Finance,公共财政,32,286,0.11188811188811189
Final classification,2020,1,Chinese journals,Miscellaneous & Methods,方法与杂项,58,286,0.20279720279720279
Final classification,2021,0,English Top 5,Development Economics,发展经济学,47,416,0.11298076923076923
Final classification,2021,0,English Top 5,Economic History,经济史,13,416,0.03125
Final classification,2021,0,English Top 5,Finance,金融学,31,416,0.07451923076923077
Final classification,2021,0,English Top 5,Industrial Organization,产业组织,31,416,0.07451923076923077
Final classification,2021,0,English Top 5,International Economics,国际经济学,29,416,0.06971153846153846
Final classification,2021,0,English Top 5,Labor Economics,劳动经济学,35,416,0.08413461538461539
Final classification,2021,0,English Top 5,Macroeconomics,宏观经济学,41,416,0.0985576923076923
Final classification,2021,0,English Top 5,Microeconomics,微观经济学,58,416,0.13942307692307693
Final classification,2021,0,English Top 5,Public Finance,公共财政,40,416,0.09615384615384616
Final classification,2021,0,English Top 5,Miscellaneous & Methods,方法与杂项,91,416,0.21875
Final classification,2021,1,Chinese journals,Development Economics,发展经济学,21,289,0.0726643598615917
Final classification,2021,1,Chinese journals,Economic History,经济史,23,289,0.07958477508650519
Final classification,2021,1,Chinese journals,Finance,金融学,42,289,0.1453287197231834
Final classification,2021,1,Chinese journals,Industrial Organization,产业组织,38,289,0.1314878892733564
Final classification,2021,1,Chinese journals,International Economics,国际经济学,21,289,0.0726643598615917
Final classification,2021,1,Chinese journals,Labor Economics,劳动经济学,25,289,0.08650519031141868
Final classification,2021,1,Chinese journals,Macroeconomics,宏观经济学,18,289,0.06228373702422145
Final classification,2021,1,Chinese journals,Microeconomics,微观经济学,9,289,0.031141868512110725
Final classification,2021,1,Chinese journals,Public Finance,公共财政,24,289,0.08304498269896193
Final classification,2021,1,Chinese journals,Miscellaneous & Methods,方法与杂项,68,289,0.23529411764705882
Final classification,2022,0,English Top 5,Development Economics,发展经济学,43,410,0.1048780487804878
Final classification,2022,0,English Top 5,Economic History,经济史,9,410,0.02195121951219512
Final classification,2022,0,English Top 5,Finance,金融学,34,410,0.08292682926829269
Final classification,2022,0,English Top 5,Industrial Organization,产业组织,38,410,0.09268292682926829
Final classification,2022,0,English Top 5,International Economics,国际经济学,20,410,0.04878048780487805
