PT,Author,BA,BE,GP,AF,BF,CA,Title,Journal,SE,BS,LA,Document_Type,CT,CY,CL,SP,HO,DE,ID,Abstract,C1,C3,RP,EM,RI,OI,FU,FP,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,Year,VL,IS,PN,SU,SI,MA,BP,EP,AR,DOI,DL,D2,EA,PG,WC,WE,SC,GA,PM,OA,HC,HP,DA,UT
J,"Alvarez, F",,,,"Alvarez, Fernando",,,Robert E. Lucas Jr.: Supreme among Macroeconomists as a Bird Who Saw Further than Others,JOURNAL OF POLITICAL ECONOMY,,,English,Article,,,,,,,RATIONAL-EXPECTATIONS; INVESTMENT; SECURITIES; MODEL,,"[Alvarez, Fernando] Univ Chicago, Chicago, IL 60637 USA",University of Chicago,"Alvarez, F (corresponding author), Univ Chicago, Chicago, IL 60637 USA.",,,,,,,"[Anonymous], 1969, The Optimum Quantity of Money and Other Essays; ARROW KJ, 1964, REV ECON STUD, V31, P91, DOI 10.2307/2296188; BARRO RJ, 1977, AM ECON REV, V67, P101; BREEDEN DT, 1979, J FINANC ECON, V7, P265, DOI 10.1016/0304-405X(79)90016-3; Christiano LJ, 1999, HBK ECON, V15, P65; Debreu Gerald., 1959, THEORY VALUE; FAMA EF, 1970, J FINANC, V25, P383, DOI 10.2307/2325486; FRIEDMAN M, 1968, AM ECON REV, V58, P1; HANSEN LP, 1982, ECONOMETRICA, V50, P1029, DOI 10.2307/1912775; HARRISON JM, 1979, J ECON THEORY, V20, P381, DOI 10.1016/0022-0531(79)90043-7; LeRoy S.F., 1973, INT ECON REV, V14, P436, DOI [10.2307/2525932, DOI 10.2307/2525932]; LUCAS RE, 1971, ECONOMETRICA, V39, P659, DOI 10.2307/1909571; LUCAS RE, 1976, CARN ROCH CONF SERIE, V1, P19, DOI 10.1016/S0167-2231(76)80003-6; LUCAS RE, 1973, AM ECON REV, V63, P326; Lucas RE, 1996, J POLIT ECON, V104, P661, DOI 10.1086/262037; MEHRA R, 1985, J MONETARY ECON, V15, P145, DOI 10.1016/0304-3932(85)90061-3; MUTH JF, 1961, ECONOMETRICA, V29, P315, DOI 10.2307/1909635; PRESCOTT EC, 1980, ECONOMETRICA, V48, P1365, DOI 10.2307/1912812; SARGENT TJ, 1975, J POLIT ECON, V83, P241, DOI 10.1086/260321; Stokey Nancy., 1989, RECURSIVE METHODS EC, DOI DOI 10.2307/J.CTVJNRT76; WALLACE N, 1992, J MONETARY ECON, V30, P433, DOI 10.1016/0304-3932(92)90005-M",21,0,0,2,7,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0022-3808,1537-534X,,J POLIT ECON,J. Polit. Econ.,NOV 1,2025,133,11,,,,,3418,3430,,10.1086/737998,http://dx.doi.org/10.1086/737998,,NOV 2025,13,Economics,Social Science Citation Index (SSCI),Business & Economics,9BW7H,,,,,2026-07-15,WOS:001575740000001
J,"Gennaioli, N; Tabellini, G",,,,"Gennaioli, Nicola; Tabellini, Guido",,,"Reply to: Comments on ""Presidential Address: Identity Politics""",ECONOMETRICA,,,English,Letter,,,,,,,,,"[Gennaioli, Nicola] Univ Bocconi, Dept Finance, Milan, Italy; [Gennaioli, Nicola; Tabellini, Guido] Univ Bocconi, IGIER, Milan, Italy; [Tabellini, Guido] Univ Bocconi, Dept Econ, Milan, Italy; [Tabellini, Guido] CEPR, London, England; [Tabellini, Guido] CESifo, Munich, Germany",Bocconi University; Bocconi University; Bocconi University; Centre for Economic Policy Research - UK; Leibniz Association; Ifo Institut,"Gennaioli, N (corresponding author), Univ Bocconi, Dept Finance, Milan, Italy.; Gennaioli, N (corresponding author), Univ Bocconi, IGIER, Milan, Italy.",nicola.gennaioli@unibocconi.it; guido.tabellini@unibocconi.it,"Tabellini, Guido/MVW-2711-2025; Gennaioli, Nicola/MTD-0982-2025",,,,,"Alesina A, 2020, AEA PAP P, V110, P324, DOI 10.1257/pandp.20201072; Besley T, 2023, Q J ECON, V138, P1863, DOI 10.1093/qje/qjad006; Bonica Adam., 2025, The Electoral Consequences of Ideological Persuasion: Evidence From a Within-Precinct Analysis of US Elections; Bordalo P, 2016, Q J ECON, V131, P1753, DOI 10.1093/qje/qjw029; Flynn DJ, 2017, POLIT PSYCHOL, V38, P127, DOI 10.1111/pops.12394; Hall AB, 2015, AM POLIT SCI REV, V109, P18, DOI 10.1017/S0003055414000641; Kahan DM, 2015, POLIT PSYCHOL, V36, P1, DOI 10.1111/pops.12244; Levy G, 2019, ANNU REV ECON, V11, P303, DOI 10.1146/annurev-economics-080218-030343; Persson Torsten, 2021, HDB HIST EC, P463, DOI [10.1016/B978-0-12-815874-6.00023-X, DOI 10.1016/B978-0-12-815874-6.00023-X]",9,0,0,4,5,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0012-9682,1468-0262,,ECONOMETRICA,Econometrica,NOV,2025,93,6,,,,,1977,1980,,10.3982/ECTA24596,http://dx.doi.org/10.3982/ECTA24596,,,4,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Mathematics; Mathematical Methods In Social Sciences,K9253,,hybrid,,,2026-07-15,WOS:001629045000007
J,[Anonymous],,,,[Anonymous],,,"In Memoriam: Robert E. Lucas Jr. (September 15, 1937-May 15, 2023)",JOURNAL OF POLITICAL ECONOMY,,,English,Biographical-Item,,,,,,,,,,,,,,,,,,"[Anonymous], 2023, MEMORIAM ROBERT LUCA",1,0,0,1,4,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0022-3808,1537-534X,,J POLIT ECON,J. Polit. Econ.,NOV 1,2025,133,11,,,,,3389,3389,,10.1086/738004,http://dx.doi.org/10.1086/738004,,NOV 2025,1,Economics,Social Science Citation Index (SSCI),Business & Economics,9BW7H,,Bronze,,,2026-07-15,WOS:001574145100001
J,"Beraja, M; Hurst, E; Ospina, J",,,,"Beraja, Martin; Hurst, Erik; Ospina, Juan",,,"The Aggregate Implications of Regional Business Cycles (vol 87, pg 1789, 2019)",ECONOMETRICA,,,English,Correction,,,,,,,,,"[Beraja, Martin] MIT, Dept Econ, Cambridge, MA 02139 USA; [Hurst, Erik] Univ Chicago, Booth Sch Business, Chicago, IL USA; [Ospina, Juan] Banco Republ, Bogota, Colombia",Massachusetts Institute of Technology (MIT); University of Chicago; Banco de la Republica Colombia,"Beraja, M (corresponding author), MIT, Dept Econ, Cambridge, MA 02139 USA.",maberaja@mit.edu; erik.hurst@chicagobooth.edu; jospinte@banrep.gov.co,"Beraja, Martin/OOL-5927-2025; Hurst, Erik/W-4996-2019","Beraja, Martin/0009-0009-7999-5760; ",,,,"[Anonymous], 2019, The Aggregate Implications of Regional Business Cycles, V87",1,0,0,0,4,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0012-9682,1468-0262,,ECONOMETRICA,Econometrica,SEP,2025,93,5,,,,,1,14,,10.3982/ECTA23148,http://dx.doi.org/10.3982/ECTA23148,,,14,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Mathematics; Mathematical Methods In Social Sciences,7OE8P,,,,,2026-07-15,WOS:001575691600004
J,"Bhalotra, S; Britto, DGC; Pinotti, P; Sampaio, B",,,,"Bhalotra, Sonia; Britto, Diogo G. C.; Pinotti, Paolo; Sampaio, Breno",,,"Job Displacement, Unemployment Benefits and Domestic Violence (Jul, rdaf004, 2025)",REVIEW OF ECONOMIC STUDIES,,,English,Correction,,,,,,,,,,,,,"pinotti, paolo/MTF-5931-2025",,,,,"Bhalotra S, 2025, REV ECON STUD, V92, P3649, DOI 10.1093/restud/rdaf004",1,0,0,8,18,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",0034-6527,1467-937X,,REV ECON STUD,Rev. Econ. Stud.,NOV,2025,92,6,,,,,4194,4194,,10.1093/restud/rdaf060,http://dx.doi.org/10.1093/restud/rdaf060,,JUL 2025,1,Economics,Social Science Citation Index (SSCI),Business & Economics,9NF3W,,hybrid,,,2026-07-15,WOS:001538490000001
J,"Arellano, M; Bonhomme, S; Suarez, SB; Schumann, M; Shi, XX; Tripathi, G",,,,"Arellano, Manuel; Bonhomme, Stephane; Suarez, Sofia Borodich; Schumann, Martin; Shi, Xiaoxia; Tripathi, Gautam",,,"ROBUST PRIORS IN NONLINEAR PANEL DATA MODELS (vol 77, pg 489, 2009)",ECONOMETRICA,,,English,Correction,,,,,,,,,"[Arellano, Manuel] CEMFI, Madrid, Spain; [Bonhomme, Stephane] Univ Chicago, Kenneth C Griffin Dept Econ, Chicago, IL USA; [Suarez, Sofia Borodich; Tripathi, Gautam] Univ Luxembourg, Dept Econ & Management, Esch Sur Alzette, Luxembourg; [Schumann, Martin] Maastricht Univ, Dept Quantitat Econ, Maastricht, Netherlands; [Shi, Xiaoxia] Univ Wisconsin, Dept Econ, Madison, WI USA",University of Chicago; University of Luxembourg; Maastricht University; University of Wisconsin System; University of Wisconsin Madison,"Arellano, M (corresponding author), CEMFI, Madrid, Spain.",arellano@cemfi.es; sbonhomme@uchicago.edu; sofia.borodichsuarez@uni.lu; m.schumann@maastrichtuniversity.nl; xshi@ssc.wisc.edu; gautam.tripathi@uni.lu,"Schumann, Martin/JQI-1408-2023","Schumann, Martin/0000-0001-7900-5821; Tripathi, Gautam/0000-0002-6757-0652",,,,"Arellano M, 2009, ECONOMETRICA, V77, P489, DOI 10.3982/ECTA6895; Arellano M, 2025, ECONOMETRICA, V93, P1, DOI 10.3982/ECTA23441",2,1,1,7,27,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0012-9682,1468-0262,,ECONOMETRICA,Econometrica,JUL,2025,93,4,,,,,1,3,,10.3982/ECTA23441,http://dx.doi.org/10.3982/ECTA23441,,,3,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Mathematics; Mathematical Methods In Social Sciences,5YG4X,,,,,2026-07-15,WOS:001547202800001
J,"Chernozhukov, V; Demirer, M; Duflo, E; Fernández-Val, I",,,,"Chernozhukov, Victor; Demirer, Mert; Duflo, Esther; Fernandez-Val, Ivan",,,"REPLY TO: Comments on ""Fisher-Schultz Lecture: Generic Machine Learning Inference on Heterogeneous Treatment Effects in Randomized Experiments, With an Application to Immunization in India""",ECONOMETRICA,,,English,Letter,,,,,,,,,"[Chernozhukov, Victor; Duflo, Esther] MIT, Dept Econ, Cambridge, MA 02139 USA; [Chernozhukov, Victor] MIT, Ctr Stat & Data Sci, Cambridge, MA 02139 USA; [Demirer, Mert] MIT, Sloan Sch Management, Cambridge, MA 02142 USA; [Fernandez-Val, Ivan] Boston Univ, Dept Econ, Boston, MA 02215 USA",Massachusetts Institute of Technology (MIT); Massachusetts Institute of Technology (MIT); Massachusetts Institute of Technology (MIT); Boston University,"Duflo, E (corresponding author), MIT, Dept Econ, Cambridge, MA 02139 USA.",vchern@mit.edu; mdemirer@mit.edu; eduflo@mit.edu; ivanf@bu.edu,"Fernandez-Val, Ivan/G-3455-2016",,3ie,3ie,"This paper was delivered (virtually) by Esther Duflo at the Fisher-Schultz Lecture of the Econometric Society World Congress, 2020. We thank three anonymous referees, Susan Athey, Moshe Buchinsky, Denis Chetverikov, Carlos Cineli, Matt Hong, Stella Hong, Steven Lehrer, Siyi Luo, Max Kasy, Sylvia Klosin, Susan Murphy, Whitney Newey, Patrick Power, Victor Quintas-Martinez, Suhas Vijaykumar, and seminar participants at ASSA 2018, Barcelona GSE Summer Forum 2019, Brazilian Econometric Society Meeting 2019, BU, Lancaster, NBER summer institute 2018, NYU, UCLA, Whitney Newey's Contributions to Econometrics conference, and York for valuable comments. Anirudh Sankar provided us with excellent research assistance. We gratefully acknowledge research support from the National Science Foundation, AFD, USAID, and 3ie. An R package that implements the methods in this paper, GenericML, is available on GitHub at https://github.com/mwelz/GenericML. Funding Statement: Open Access funding enabled and organized by MIT Hybrid 2025. WOA Institution: Massachusetts Institute of Technology. Consortia Name: MIT Hybrid 2025.r No Statement Availabler No Statement Availabler No Statement Available","Imai Kosuke., 2024, Comment on 'Generic Machine Learning Inference on Heterogenous Treatment Effects in Randomized Experiments, With an Application to Immunization in India'; Li Michael Lingzhi., 2023, evalITR: Evaluating Individualized Treatment Rules; Luedtke AR, 2016, ANN STAT, V44, P713, DOI 10.1214/15-AOS1384; Wager S, 2024, Arxiv, DOI [arXiv:2405.05534, 10.48550/arXiv.2405.05534, DOI 10.48550/ARXIV.2405.05534]",4,0,1,6,15,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0012-9682,1468-0262,,ECONOMETRICA,Econometrica,JUL,2025,93,4,,,,,1177,1181,,10.3982/ECTA23706,http://dx.doi.org/10.3982/ECTA23706,,,5,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Mathematics; Mathematical Methods In Social Sciences,5YG4X,,,,,2026-07-15,WOS:001547202800006
J,"Fernández-Villaverde, J; Hurtado, S; Nuño, G",,,,"Fernandez-Villaverde, Jesus; Hurtado, Samuel; Nuno, Galo",,,"FINANCIAL FRICTIONS AND THE WEALTH DISTRIBUTION (vol 91, pg 869, 2023)",ECONOMETRICA,,,English,Correction,,,,,,,,,"[Fernandez-Villaverde, Jesus] Univ Penn, Dept Econ, Philadelphia, PA 19104 USA; [Fernandez-Villaverde, Jesus] NBER, Cambridge, MA 02138 USA; [Fernandez-Villaverde, Jesus] CEPR, London, England; [Hurtado, Samuel; Nuno, Galo] Banco Espana, Madrid, Spain",University of Pennsylvania; National Bureau of Economic Research; Centre for Economic Policy Research - UK; Banco de Espana,"Fernández-Villaverde, J (corresponding author), Univ Penn, Dept Econ, Philadelphia, PA 19104 USA.; Fernández-Villaverde, J (corresponding author), NBER, Cambridge, MA 02138 USA.; Fernández-Villaverde, J (corresponding author), CEPR, London, England.",jesusfv@econ.upenn.edu; samuel.hurtado@bde.es; galo.nuno@bde.es,,,,,,"[Anonymous], 2023, FINANCIAL FRICTIONS AND THE WEALTH DISTRIBUTION, V91, P869",1,0,0,2,7,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0012-9682,1468-0262,,ECONOMETRICA,Econometrica,JUL,2025,93,4,,,,,1491,1496,,10.3982/ECTA22259,http://dx.doi.org/10.3982/ECTA22259,,,6,"Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Mathematics; Mathematical Methods In Social Sciences,5YG4X,,,,,2026-07-15,WOS:001547202800009
J,"Bekaert, C",,,,"Bekaert, Cherry",,,REPORT OF INDEPENDENT AUDITOR,AMERICAN ECONOMIC REVIEW,,,English,Article,,,,,,,,,"[Bekaert, Cherry] Amer Econ Assoc, Nashville, TN 37203 USA",,"Bekaert, C (corresponding author), Amer Econ Assoc, Nashville, TN 37203 USA.",,,,,,,,0,0,0,0,0,AMER ECONOMIC ASSOC,NASHVILLE,"2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA",0002-8282,1944-7981,,AM ECON REV,Am. Econ. Rev.,JUN,2025,115,6,,,,,2093,2109,,10.1257/aer.115.6.2093,http://dx.doi.org/10.1257/aer.115.6.2093,,,17,Economics,Social Science Citation Index (SSCI),Business & Economics,FW2UK,,,,,2026-07-15,WOS:001728901000001
J,"Johnson, S",,,,"Johnson, Simon",,,Nobel Lecture: The Institutional Origins of Shared Prosperity,AMERICAN ECONOMIC REVIEW,,,English,Article,,,,,,,COLONIAL ORIGINS; LEGACY; POPULATION; EDUCATION; AMERICA; REFORM; INCOME,,"[Johnson, Simon] MIT Sloan, Cambridge, MA 02142 USA; [Johnson, Simon] NBER, Cambridge, MA 02138 USA; [Johnson, Simon] CEPR, London, England",Massachusetts Institute of Technology (MIT); National Bureau of Economic Research; Centre for Economic Policy Research - UK,"Johnson, S (corresponding author), MIT Sloan, Cambridge, MA 02142 USA.; Johnson, S (corresponding author), NBER, Cambridge, MA 02138 USA.; Johnson, S (corresponding author), CEPR, London, England.",sjohnson@mit.edu,,,,,,"Acemoglu D, 2002, Q J ECON, V117, P1231, DOI 10.1162/003355302320935025; Acemoglu D, 2001, AM ECON REV, V91, P1369, DOI 10.1257/aer.91.5.1369; Acemoglu D, 2003, J MONETARY ECON, V50, P49, DOI 10.1016/S0304-3932(02)00208-8; Acemoglu D, 2005, AM ECON REV, V95, P546, DOI 10.1257/0002828054201305; Acemoglu D, 2005, AM ECON REV, V95, P44, DOI 10.1257/000282805774669916; Acemoglu D, 2005, J POLIT ECON, V113, P949, DOI 10.1086/432166; Acemoglu D, 2005, HANDB ECON, V22, P385; Acemoglu D., 2001, NBER Working Paper 8460; Acemoglu D., [No title captured]; Acemoglu D., 2023, Power and Progress, Our 1000-Year Struggle Over Technology and Prosperity; Acemoglu D, 2008, BROOKINGS PAP ECO AC, P351; Acemoglu D, 2008, AM ECON REV, V98, P808, DOI 10.1257/aer.98.3.808; Acemoglu D, 2007, J POLIT ECON, V115, P925, DOI 10.1086/529000; Acemoglu D, 2020, REV ECON STUD, V87, P1565, DOI 10.1093/restud/rdz042; Acemoglu D, 2016, J FINANC ECON, V121, P368, DOI 10.1016/j.jfineco.2015.10.001; Acemoglu D, 2012, AM ECON REV, V102, P3077, DOI 10.1257/aer.102.6.3077; Acemoglu D, 2011, AM ECON REV, V101, P3286, DOI 10.1257/aer.101.7.3286; Acemoglu D, 2009, J MONETARY ECON, V56, P1043, DOI 10.1016/j.jmoneco.2009.10.002; Acemoglu D, 2009, J FINANC, V64, P1251, DOI 10.1111/j.1540-6261.2009.01464.x; Acemoglu Daron, 2011, NBER Working Paper 16966; Acemoglu Daron, 2017, Foreign Affairs; Acemoglu Daron, 2007, Replication Data for: ""Disease and Development: The Effect of Life Expectancy on Economic Growth.""; Acemoglu Daron, 2023, MIT Policy Memo, p2023/09; Acemoglu Daron, 2025, American Economic Review, V115; Acemoglu Daron, 2012, The Colonial Origins of Comparative Development: An Empirical Investigation: Reply, DOI [10.3886/E112564V1, DOI 10.3886/E112564V1]; Althoff L, 2024, Q J ECON, V139, P2279, DOI 10.1093/qje/qjae023; Andrews I, 2019, ANNU REV ECON, V11, P727, DOI 10.1146/annurev-economics-080218-025643; [Anonymous], 1909, A Century of Population Growth in the United States: From the First Census of the United States to the Twelfth, 1790-1900, P132; [Anonymous], 2007, NBER Working Paper 13120; [Anonymous], 2024, World Development Indicators | DataBank; Assurance Magazine, 1852, Assurance Magazine, V2, P166; Bairoch Paul., 1982, J EUROPEAN EC HIST, V11, P269; Banerjee A, 2005, AM ECON REV, V95, P1190, DOI 10.1257/0002828054825574; Beckert Sven., 2014, EMPIRE COTTON GLOBAL; Bertocchi G, 2012, J COMP ECON, V40, P581, DOI 10.1016/j.jce.2012.04.001; Boese VA, 2019, INT AREA STUD REV, V22, P95, DOI 10.1177/2233865918815571; Bolt Jutta, 2024, DataverseNL; Bolt J, 2025, J ECON SURV, V39, P631, DOI 10.1111/joes.12618; Bruce-Chwatt Leonard Jan, 1980, Health in Tropical Africa during the Colonial Period; Cha Myung Soo., 2022, HIST STAT KOREA; Collins W.J., 2006, Handbook of the Economics of Education, V1, P107, DOI DOI 10.1016/S1574-0692(06)01003-8; Coppedge Michael, 2024, V-Dem; Coppedge Michael, 2024, V-Dem Codebook v14. Varieties of Democracy (V-Dem) Project; Coppedge Michael, 2024, PREPRINT, DOI [10.2139/ssrn.4782726, DOI 10.2139/SSRN.4782726]; Crosby AlfredW., 2003, COLUMBIAN EXCHANGE B, DOI DOI 10.1017/CBO9780511805554; Curtin P.D., 1964, IMAGE AFRICA BRIT ID; Curtin P.D., 1998, DIS EMPIRE HLTH EURO; Curtin P.D., 1961, Journal of British Studies, V1, P94, DOI [https://doi.org/10.1086/385437, DOI 10.1086/385437, 10.1086/385437]; Curtin Philip., 1995, African History from Earliest Times to Independence, V2nd; Curtin PhilipD., 1989, DEATH MIGRATION EURO; Dell M, 2010, ECONOMETRICA, V78, P1863, DOI 10.3982/ECTA8121; DENEVAN WM, 1992, ANN ASSOC AM GEOGR, V82, P369, DOI 10.1111/j.1467-8306.1992.tb01965.x; Derenoncourt E, 2023, J ECON PERSPECT, V37, P71, DOI 10.1257/jep.37.4.71; Derenoncourt E, 2023, Q J ECON, DOI 10.1093/qje/qjad044; Diamond Jared., 1999, Guns, Germs, and Steel: The Fates of Human Society; Doolan DL, 2009, CLIN MICROBIOL REV, V22, P13, DOI 10.1128/CMR.00025-08; Gunadi C, 2019, RES ECON, V73, P339, DOI 10.1016/j.rie.2019.10.004; Gutierrez Hector, 1987, Annales de Demographie Historique, V21, P29; Harrison Mark., 2002, Climates and Constitution: Health, Race, Environment and British Imperialism in India 1600-1850; International Country Risk Guide (ICRG) Researchers, 2013, HarvardDataverse, V7; Iyer L, 2010, REV ECON STAT, V92, P693, DOI 10.1162/REST_a_00023; Iyer Lakshmi, 2024, IZA Discussion Paper 17051; Johnson Simon, 2025, Data and Code for: ""Nobel Lecture: The Institutional Origins of Shared Prosperity."", DOI [10.3886/E228862V1, DOI 10.3886/E228862V1]; Johnson Simon., 2010, 13 BANKERS WALL STRE; Koch A, 2019, QUATERNARY SCI REV, V207, P13, DOI 10.1016/j.quascirev.2018.12.004; McCullough David., 2004, The Path between the Seas: The Creation of the Panama Canal, 1870-1914; McNeill W.H., 1976, PLAGUES PEOPLES, V1st; Milner GR, 2010, AM ANTIQUITY, V75, P707, DOI 10.7183/0002-7316.75.4.707; Mokyr Joel., 2016, A Culture of Growth: The Origins of the Modern Economy, DOI [10.2307/j.ctt1wf4dft, DOI 10.2307/J.CTT1WF4DFT]; Nunn N, 2008, Q J ECON, V123, P139, DOI 10.1162/qjec.2008.123.1.139; O'Fallon BD, 2011, P NATL ACAD SCI USA, V108, P20444, DOI 10.1073/pnas.1112563108; Oldstone M.B., 2010, Viruses, Plagues, History: Past, Present, and Future; Olea JLM, 2013, J BUS ECON STAT, V31, P358, DOI 10.1080/00401706.2013.806694; Pritchett L, 1997, J ECON PERSPECT, V11, P3, DOI 10.1257/jep.11.3.3; Rose L, 2022, ECON POLIT-OXFORD, V34, P142, DOI 10.1111/ecpo.12190; TATTERSALL I., 2008, The World from Beginnings to 4000 BCE; Thornton Russell., 1990, AM INDIAN HOLOCAUST; Transparency International, 2024, Corruption perception index 2023; Tulloch A.M., 1847, Journal of the Statistical Society of London, V10, P252; World Bank, 2024, World Bank Governance & Documents | The Pandemic Fund",80,0,0,2,10,AMER ECONOMIC ASSOC,NASHVILLE,"2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA",0002-8282,1944-7981,,AM ECON REV,Am. Econ. Rev.,JUN,2025,115,6,,,,,1749,1786,,10.1257/aer.115.6.1749,http://dx.doi.org/10.1257/aer.115.6.1749,,,38,Economics,Social Science Citation Index (SSCI),Business & Economics,3WX1O,,,,,2026-07-15,WOS:001510946900002
