Rank,Term,Frequency,Type
1,market,2436,word
2,policy,1963,word
3,information,1783,word
4,firm,1713,word
5,price,1489,word
6,risk,1179,word
7,equilibrium,1166,word
8,choice,1121,word
9,cost,1083,word
10,dynamic,1070,word
11,impact,1064,word
12,income,1062,word
13,rate,1031,word
14,trade,964,word
15,growth,893,word
16,social,849,word
17,tax,838,word
18,optimal,835,word
19,wage,826,word
20,state,821,word
21,labor,805,word
22,preference,803,word
23,demand,801,word
24,network,801,word
25,welfare,786,word
26,shock,779,word
27,productivity,777,word
28,change,773,word
29,time,772,word
30,competition,733,word
31,design,729,word
32,economic,690,word
33,large,681,word
34,selection,678,word
35,investment,678,word
36,financial,672,word
37,inequality,668,word
38,new,663,word
39,capital,656,word
40,mechanism,647,word
41,monetary,635,word
42,agent,618,word
43,insurance,613,word
44,worker,612,word
45,health,593,word
46,experiment,591,word
47,game,577,word
48,long,576,word
49,search,574,word
50,high,571,word
51,incentive,564,word
52,consumption,563,word
53,value,562,word
54,job,558,word
55,consumer,546,word
56,distribution,537,word
57,credit,527,word
58,theory,522,word
59,two,522,word
60,decision,520,word
61,quality,519,word
62,based,507,word
63,economy,506,word
64,behavior,506,word
65,across,505,word
66,return,504,word
67,country,504,word
68,level,500,word
69,higher,494,word
70,debt,493,word
71,aggregate,492,word
72,household,485,word
73,contract,484,word
74,belief,477,word
75,public,476,word
76,asset,454,word
77,identification,453,word
78,inference,450,word
79,school,448,word
80,government,446,word
81,run,441,word
82,child,441,word
83,technology,439,word
84,one,437,word
85,set,435,word
86,test,423,word
87,learning,418,word
88,response,414,word
89,wealth,412,word
90,benefit,411,word
91,cycle,402,word
92,program,402,word
93,low,401,word
94,efficiency,401,word
95,individual,401,word
96,first,400,word
97,heterogeneity,398,word
98,private,395,word
99,auction,390,word
100,bank,386,word
101,term,384,word
102,earning,381,word
103,lower,380,word
104,liquidity,379,word
105,bias,373,word
106,local,373,word
107,share,371,word
108,employment,371,word
109,gain,369,word
110,supply,368,word
111,product,367,word
112,uncertainty,365,word
113,constraint,361,word
114,interest,357,word
115,structure,357,word
116,performance,355,word
117,power,355,word
118,develop,354,word
119,may,353,word
120,gender,352,word
121,political,351,word
122,production,346,word
123,expectation,340,word
124,innovation,336,word
125,friction,335,word
126,good,333,word
127,business,332,word
128,skill,324,word
129,condition,322,word
130,structural,318,word
131,rule,317,word
132,reduce,317,word
133,education,315,word
134,general,314,word
135,treatment,311,word
136,less,310,word
137,taxation,309,word
138,mobility,309,word
139,allocation,308,word
140,development,304,word
141,average,304,word
142,utility,301,word
143,united,297,word
144,non,296,word
145,standard,295,word
146,matching,294,word
147,unemployment,293,word
148,estimation,293,word
149,function,292,word
150,problem,291,word
151,variation,291,word
152,economics,290,word
153,different,289,word
154,exchange,288,word
155,loss,287,word
